"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"MedicationTreatmentLineLM.recordingMetadata.patientReported","MedicationTreatmentLineLM.recordingMetadata.patientReported","","","",0,1,"","","","boolean {[]} {[]}
","The treatment line has been documented according to patient's statement","The treatment line has been documented according to patient's statement","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.recordingMetadata.patientReported",0,1,"",""
"MedicationTreatmentLineLM.recordingMetadata.responsibleAuthor","MedicationTreatmentLineLM.recordingMetadata.responsibleAuthor","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MEOW/StructureDefinition/PractitionerLM]]}
","HCP who takes the clinical decision for the medication treatment line. If an author is not present, the responsibility of the medication line is with the recorder.","HCP who takes the clinical decision for the medication treatment line. If an author is not present, the responsibility of the medication line is with the recorder.","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.recordingMetadata.responsibleAuthor",0,1,"",""
"MedicationTreatmentLineLM.recordingMetadata.authoringTime","MedicationTreatmentLineLM.recordingMetadata.authoringTime","","","",0,1,"","","","dateTime {[]} {[]}
","The time the clinical decision was made by the responsibleAuthor. Normally, the same time as recording time when it's the same person.","The time the clinical decision was made by the responsibleAuthor. Normally, the same time as recording time when it's the same person.","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.recordingMetadata.authoringTime",0,1,"",""
"MedicationTreatmentLineLM.derivedFrom","MedicationTreatmentLineLM.derivedFrom","","","",0,*,"","","","BackboneElement {[]} {[]}
","Any data object that this treatment line is derived from","Any data object that this treatment line is derived from","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.derivedFrom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationTreatmentLineLM.derivedFrom.id","MedicationTreatmentLineLM.derivedFrom.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"MedicationTreatmentLineLM.derivedFrom.extension","MedicationTreatmentLineLM.derivedFrom.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationTreatmentLineLM.derivedFrom.modifierExtension","MedicationTreatmentLineLM.derivedFrom.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationTreatmentLineLM.derivedFrom.request","MedicationTreatmentLineLM.derivedFrom.request","","","",0,*,"","","","Reference {[]} {[]}
","Prescriptions that have been the source for creating the unverified treatment line","Prescriptions that have been the source for creating the unverified treatment line","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.derivedFrom.request",0,*,"",""
"MedicationTreatmentLineLM.derivedFrom.statement","MedicationTreatmentLineLM.derivedFrom.statement","","","",0,*,"","","","Reference {[]} {[]}
","Medication-related statements from patients, pharmacists, or other HCPs, that are the source for creating the unverified treatment line","Medication-related statements from patients, pharmacists, or other HCPs, that are the source for creating the unverified treatment line","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.derivedFrom.statement",0,*,"",""
"MedicationTreatmentLineLM.derivedFrom.dispensation","MedicationTreatmentLineLM.derivedFrom.dispensation","","","",0,*,"","","","Reference {[]} {[]}
","Related dispensations that are not necessarily related to existing prescriptions/requests/statements.","Related dispensations that are not necessarily related to existing prescriptions/requests/statements.","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.derivedFrom.dispensation",0,*,"",""
